,Strike,Maturity,Price,spot,maturity
0,27000,1/13/2023,1630,28275,0.13424657534246576
1,27250,1/13/2023,1444,28275,0.13424657534246576
2,27500,1/13/2023,1267,28275,0.13424657534246576
3,27750,1/13/2023,1100,28275,0.13424657534246576
4,28000,1/13/2023,945,28275,0.13424657534246576
5,28250,1/13/2023,800,28275,0.13424657534246576
6,28500,1/13/2023,669,28275,0.13424657534246576
7,28750,1/13/2023,550,28275,0.13424657534246576
8,29000,1/13/2023,444,28275,0.13424657534246576
9,29250,1/13/2023,352,28275,0.13424657534246576
10,29500,1/13/2023,273,28275,0.13424657534246576
11,29750,1/13/2023,207,28275,0.13424657534246576
12,30000,1/13/2023,154,28275,0.13424657534246576
13,30250,1/13/2023,112,28275,0.13424657534246576
14,30500,1/13/2023,79,28275,0.13424657534246576
15,30750,1/13/2023,55,28275,0.13424657534246576
16,31000,1/13/2023,37,28275,0.13424657534246576
17,31250,1/13/2023,25,28275,0.13424657534246576
18,31500,1/13/2023,16,28275,0.13424657534246576
19,31750,1/13/2023,10,28275,0.13424657534246576
20,32000,1/13/2023,5,28275,0.13424657534246576
21,32250,1/13/2023,3,28275,0.13424657534246576
22,32500,1/13/2023,1,28275,0.13424657534246576
23,27000,2/10/2023,1782,28260,0.21095890410958903
24,27250,2/10/2023,1603,28260,0.21095890410958903
25,27500,2/10/2023,1431,28260,0.21095890410958903
26,27750,2/10/2023,1268,28260,0.21095890410958903
27,28000,2/10/2023,1113,28260,0.21095890410958903
28,28250,2/10/2023,969,28260,0.21095890410958903
29,28500,2/10/2023,834,28260,0.21095890410958903
30,28750,2/10/2023,710,28260,0.21095890410958903
31,29000,2/10/2023,597,28260,0.21095890410958903
32,29250,2/10/2023,495,28260,0.21095890410958903
33,29500,2/10/2023,405,28260,0.21095890410958903
34,29750,2/10/2023,327,28260,0.21095890410958903
35,30000,2/10/2023,260,28260,0.21095890410958903
36,30250,2/10/2023,203,28260,0.21095890410958903
37,30500,2/10/2023,157,28260,0.21095890410958903
38,30750,2/10/2023,119,28260,0.21095890410958903
39,31000,2/10/2023,89,28260,0.21095890410958903
40,31250,2/10/2023,66,28260,0.21095890410958903
41,31500,2/10/2023,48,28260,0.21095890410958903
42,31750,2/10/2023,35,28260,0.21095890410958903
43,32000,2/10/2023,25,28260,0.21095890410958903
44,32250,2/10/2023,17,28260,0.21095890410958903
45,32500,2/10/2023,12,28260,0.21095890410958903
46,27000,3/10/2023,1923,28270,0.2876712328767123
47,27250,3/10/2023,1747,28270,0.2876712328767123
48,27500,3/10/2023,1577,28270,0.2876712328767123
49,27750,3/10/2023,1415,28270,0.2876712328767123
50,28000,3/10/2023,1261,28270,0.2876712328767123
51,28250,3/10/2023,1115,28270,0.2876712328767123
52,28500,3/10/2023,977,28270,0.2876712328767123
53,28750,3/10/2023,849,28270,0.2876712328767123
54,29000,3/10/2023,731,28270,0.2876712328767123
55,29250,3/10/2023,623,28270,0.2876712328767123
56,29500,3/10/2023,525,28270,0.2876712328767123
57,29750,3/10/2023,438,28270,0.2876712328767123
58,30000,3/10/2023,361,28270,0.2876712328767123
59,30250,3/10/2023,295,28270,0.2876712328767123
60,30500,3/10/2023,237,28270,0.2876712328767123
61,30750,3/10/2023,189,28270,0.2876712328767123
62,31000,3/10/2023,150,28270,0.2876712328767123
63,31250,3/10/2023,117,28270,0.2876712328767123
64,31500,3/10/2023,91,28270,0.2876712328767123
65,31750,3/10/2023,70,28270,0.2876712328767123
66,32000,3/10/2023,53,28270,0.2876712328767123
67,32250,3/10/2023,40,28270,0.2876712328767123
68,32500,3/10/2023,30,28270,0.2876712328767123
69,27000,4/14/2023,1872,28010,0.3835616438356164
70,27250,4/14/2023,1705,28010,0.3835616438356164
71,27500,4/14/2023,1544,28010,0.3835616438356164
72,27750,4/14/2023,1390,28010,0.3835616438356164
73,28000,4/14/2023,1244,28010,0.3835616438356164
74,28250,4/14/2023,1106,28010,0.3835616438356164
75,28500,4/14/2023,976,28010,0.3835616438356164
76,28750,4/14/2023,854,28010,0.3835616438356164
77,29000,4/14/2023,742,28010,0.3835616438356164
78,29250,4/14/2023,639,28010,0.3835616438356164
79,29500,4/14/2023,546,28010,0.3835616438356164
80,29750,4/14/2023,462,28010,0.3835616438356164
81,30000,4/14/2023,387,28010,0.3835616438356164
82,30250,4/14/2023,322,28010,0.3835616438356164
83,30500,4/14/2023,265,28010,0.3835616438356164
84,30750,4/14/2023,217,28010,0.3835616438356164
85,31000,4/14/2023,176,28010,0.3835616438356164
86,31250,4/14/2023,142,28010,0.3835616438356164
87,31500,4/14/2023,114,28010,0.3835616438356164
88,31750,4/14/2023,90,28010,0.3835616438356164
89,32000,4/14/2023,71,28010,0.3835616438356164
90,32250,4/14/2023,56,28010,0.3835616438356164
